volume,packet_size,connections
0.055109728,0.13341746,0.07614332
0.08615329,0.10857976,0.03456768
0.06451678,0.10819758,0.032792494
0.12544723,0.1060717,0.02726847
0.12532389,0.09539974,0.046334982
0.118593484,0.099744,0.024922952
0.15123937,0.07023061,0.030670563
0.1467792,0.11096858,0.018009465
0.13829483,0.06860305,0.023322083
0.15078332,0.06684848,0.046650775
0.16557701,0.13057712,0.036649168
0.12080669,0.07367386,0.04237322
0.20603436,0.1567307,0.049977485
0.14019054,0.07596072,0.03935386
0.20241494,0.10889858,0.045579355
0.14583872,0.093052015,0.048204176
0.15053819,0.09847981,0.0435387
0.11145415,0.06869738,0.05061857
0.13157277,0.08232762,0.025321603
0.1433065,0.10323282,0.037925437
0.14351326,0.075264685,0.06194346
0.11235448,0.12185457,0.02551833
0.1521037,0.07564547,0.05956577
0.18142276,0.09623239,0.032133017
0.10378819,0.07151372,0.032324556
0.15550005,0.086751185,0.020181635
0.15007642,0.08718398,0.018531667
0.17732403,0.084685616,0.074284494
0.12967072,0.049455393,0.041039817
0.13716559,0.10465881,0.021630602
0.21971968,0.10805097,0.034668267
0.1688226,0.09088785,0.06627824
0.090629466,0.036539223,0.041182797
0.12179961,0.106547385,0.022934167
0.20277603,0.09440035,0.02968382
0.17527486,0.10554998,0.06272701
0.13095406,0.061409827,0.030961355
0.14248966,0.106809154,0.047104657
0.09920475,0.13380577,0.08520993
0.068704516,0.042878628,0.019215517
0.09644251,0.07748934,0.077362396
0.08129587,0.079423465,0.024532568
0.08801955,0.06457326,0.05659248
0.23413377,0.08899418,0.065589786
0.11759883,0.0748484,0.059245467
0.1350235,0.08565167,0.041149907
0.112090774,0.07593413,0.015262384
0.17043395,0.095540956,0.11890831
0.11034707,0.05391874,0.027444901
0.13138753,0.07538541,0.04442607
0.16913487,0.093001924,0.027135763
0.09811634,0.0765478,0.10313168
0.17804024,0.048479307,0.052774522
0.9531731,0.48426214,0.6710238
0.15695675,0.06828279,0.06217729
0.2214887,0.05494868,0.068914674
0.145358,0.070101894,0.033287793
0.12220978,0.0309409,0.04955327
0.12625307,0.095677845,0.12598771
0.28378773,0.09729519,0.10297727
0.13095504,0.12674935,0.08470937
0.1662067,0.08365436,0.043322686
0.11158017,0.08202857,0.03211234
0.11848759,0.075852916,0.049541764
0.14992073,0.06276623,0.017266842
0.12052211,0.07338369,0.023895357
0.15473182,0.0869395,0.035396323
0.10065258,0.112191275,0.04368086
0.15419732,0.04327152,0.04760513
0.15010828,0.085255064,0.03472362
0.22465177,0.15847287,0.2626524
0.11318664,0.07203496,0.07029029
0.10863451,0.11028049,0.042899806
0.16408373,0.06883377,0.03366437
0.10660735,0.08638667,0.0805283
0.097784206,0.07954065,0.09696106
0.19288743,0.0826843,0.03424253
0.15632607,0.060504775,0.023635147
0.23043868,0.068764195,0.0845164
0.11904659,0.1077695,0.012956696
0.15756616,0.06304766,0.046240587
0.10042499,0.057100415,0.010008929
0.67387706,0.32382324,0.47587302
0.12058768,0.059585217,0.019644476
0.44170153,0.19524848,0.14001063
0.19226903,0.13545986,0.046877343
0.24307548,0.0854687,0.032641664
0.12245716,0.09565126,0.0793149
0.21052293,0.12304349,0.03411876
0.16493154,0.06914045,0.07726632
0.19130906,0.08470555,0.009161197
0.22806807,0.14440648,0.094665304
0.1905094,0.111362204,0.036591344
0.16854353,0.07648241,0.09779197
0.2293735,0.06572476,0.012488376
0.19729352,0.11646982,0.034128517
0.20370351,0.08227983,0.018062202
0.13146736,0.055691253,0.06820137
0.18256675,0.089037746,0.030293034
0.18745922,0.098362125,0.101551935
