volume,packet_size,connections
0.056051735,0.1545239,0.06817505
0.11844076,0.0989298,0.035107683
0.07509123,0.08959616,0.052969225
0.13451815,0.10756169,0.0334361
0.12957871,0.06303686,0.048151664
0.13812557,0.13986701,0.011940969
0.1596869,0.065476574,0.047913354
0.1297817,0.09328423,0.020086797
0.21129933,0.08683909,0.03771466
0.16986959,0.098126315,0.028004166
0.17210144,0.13603608,0.05476722
0.080145404,0.056863643,0.014033833
0.2739696,0.10423391,0.034926143
0.11270069,0.072167546,0.04468697
0.15992333,0.058491964,0.029889619
0.11620428,0.13264935,0.023801075
0.12018407,0.11072777,0.028324984
0.23384567,0.072050385,0.0440473
0.10216912,0.09274153,0.012968067
0.12776726,0.08480827,0.027495526
0.21736361,0.06483875,0.022708045
0.08596332,0.06563683,0.01732621
0.13141136,0.054770473,0.042633604
0.168413,0.11415884,0.025985789
0.11113864,0.082850255,0.059286766
0.119638376,0.10067733,0.023285171
0.10821939,0.07784689,0.012196098
0.1801314,0.04608909,0.041924153
0.11555273,0.066284835,0.020809911
0.11958769,0.09809665,0.01732681
0.15369797,0.080367856,0.029431833
0.14754434,0.06738234,0.06613185
0.11188539,0.04260302,0.0402473
0.14022848,0.088263266,0.038768742
0.12769367,0.11328504,0.045999624
0.17965259,0.09450834,0.1279622
0.115698844,0.06076583,0.026677767
0.14465883,0.100425854,0.041393723
0.104036346,0.08631941,0.030620921
0.087344535,0.061321743,0.026740782
0.13099734,0.037139427,0.029976958
0.094419055,0.07080017,0.01897908
0.14518088,0.097105965,0.055300802
0.3102592,0.18683256,0.115876645
0.17881653,0.10559079,0.086029604
0.12531129,0.12568714,0.03038722
0.15657312,0.10784819,0.031087544
0.17126139,0.06321529,0.1459964
0.14112838,0.082086004,0.038843893
0.1576511,0.0987041,0.040745646
0.09594425,0.09248127,0.020391691
0.098471716,0.115714036,0.06575862
0.10079331,0.07446821,0.007925563
0.982733,0.37258112,0.78531504
0.15171093,0.118892245,0.07499502
0.14176266,0.09478382,0.042236652
0.10616898,0.06377824,0.017036865
0.13792545,0.011743532,0.033264104
0.07845134,0.12494616,0.15593491
0.17191376,0.1059519,0.02582132
0.12695071,0.12555002,0.060675424
0.15903358,0.068055086,0.016707078
0.1808438,0.073477425,0.027268657
0.1399563,0.1475584,0.04713945
0.15246297,0.093321174,0.028872944
0.14550483,0.123277865,0.017633086
0.22116509,0.092994474,0.034584668
0.14095092,0.068991184,0.051978696
0.16037787,0.049655497,0.02780249
0.1590599,0.11539435,0.025387619
0.3431106,0.18727455,0.3262956
0.09047421,0.06998109,0.11115103
0.10821416,0.12559767,0.044905733
0.21898054,0.05679912,0.059049606
0.10428972,0.14976934,0.07302541
0.096468486,0.09557819,0.09957733
0.18841316,0.11352528,0.026903963
0.13765359,0.088980675,0.03174184
0.15629482,0.06177479,0.037488583
0.13862172,0.10461736,0.028759368
0.17430148,0.07471046,0.068196304
0.1351236,0.060641743,0.027471604
0.6834036,0.29616073,0.39234424
0.26928827,0.11175749,0.055322804
0.47393745,0.20873734,0.30007184
0.21015228,0.09591919,0.046199687
0.20418641,0.058966,0.014604103
0.1660438,0.09045852,0.023442404
0.14363876,0.119226724,0.02988534
0.11957168,0.06699531,0.031242924
0.11128829,0.09906492,0.010644458
0.2005186,0.11132159,0.11473772
0.1420303,0.08800045,0.027899597
0.19338761,0.10326648,0.04349384
0.16282193,0.10117991,0.020024251
0.19943438,0.05733371,0.069966614
0.19284245,0.081687324,0.02819924
0.16201405,0.091652125,0.04494376
0.11689454,0.059782803,0.055040233
0.1519243,0.085239366,0.09202535
